Option,Model,Metric,Mean,Std
Option2_PCA_Embeddings,RandomForest,Sensitivity,0.026424468250271692,0.01068031304534637
Option2_PCA_Embeddings,RandomForest,Specificity,0.9945993031358885,0.001558235524390131
Option2_PCA_Embeddings,RandomForest,PPV,0.3271212121212121,0.09706493902285973
Option2_PCA_Embeddings,RandomForest,NPV,0.9118355451798228,0.0006361522615167445
Option2_PCA_Embeddings,RandomForest,Precision,0.3271212121212121,0.09706493902285973
Option2_PCA_Embeddings,RandomForest,Recall,0.026424468250271692,0.01068031304534637
Option2_PCA_Embeddings,RandomForest,AUROC,0.7213757602510485,0.01771178249962123
Option2_PCA_Embeddings,RandomForest,AUPRC,0.19892390606369004,0.01613200729728931
Option2_PCA_Embeddings,XGBoost,Sensitivity,0.15871759043626765,0.022430751229970104
Option2_PCA_Embeddings,XGBoost,Specificity,0.9588850174216029,0.0037668551063483532
Option2_PCA_Embeddings,XGBoost,PPV,0.2767854898999194,0.04138323276629883
Option2_PCA_Embeddings,XGBoost,NPV,0.9202473226777862,0.0020953608744283913
Option2_PCA_Embeddings,XGBoost,Precision,0.2767854898999194,0.04138323276629883
Option2_PCA_Embeddings,XGBoost,Recall,0.15871759043626765,0.022430751229970104
Option2_PCA_Embeddings,XGBoost,AUROC,0.7457959597893937,0.011949737121077688
Option2_PCA_Embeddings,XGBoost,AUPRC,0.21797046967086925,0.021503725625144937
Option3_Hybrid,LogisticRegression_L1,Sensitivity,0.6790715727371526,0.04725864313259062
Option3_Hybrid,LogisticRegression_L1,Specificity,0.6726480836236934,0.014671948024472182
Option3_Hybrid,LogisticRegression_L1,PPV,0.1701640010522339,0.011500008148632706
Option3_Hybrid,LogisticRegression_L1,NPV,0.954992289687115,0.006670430264019767
Option3_Hybrid,LogisticRegression_L1,Precision,0.1701640010522339,0.011500008148632706
Option3_Hybrid,LogisticRegression_L1,Recall,0.6790715727371526,0.04725864313259062
Option3_Hybrid,LogisticRegression_L1,AUROC,0.7556072217019996,0.02033298410135068
Option3_Hybrid,LogisticRegression_L1,AUPRC,0.2320373721354506,0.04581887274017153
Option3_Hybrid,RandomForest,Sensitivity,0.024670082285359416,0.007279309429457869
Option3_Hybrid,RandomForest,Specificity,0.9956445993031359,0.0010668509332679033
Option3_Hybrid,RandomForest,PPV,0.3588095238095238,0.049110569865990765
Option3_Hybrid,RandomForest,NPV,0.9117743722316869,0.00033921222420915626
Option3_Hybrid,RandomForest,Precision,0.3588095238095238,0.049110569865990765
Option3_Hybrid,RandomForest,Recall,0.024670082285359416,0.007279309429457869
Option3_Hybrid,RandomForest,AUROC,0.7312219546275575,0.01553944870665518
Option3_Hybrid,RandomForest,AUPRC,0.20326990709751028,0.013658163470860784
Option3_Hybrid,XGBoost,Sensitivity,0.15166899549759355,0.015684867911296807
Option3_Hybrid,XGBoost,Specificity,0.9564459930313589,0.001742160278745644
Option3_Hybrid,XGBoost,PPV,0.25595123927871954,0.025867507918011963
Option3_Hybrid,XGBoost,NPV,0.9194441548870241,0.001484217384120396
Option3_Hybrid,XGBoost,Precision,0.25595123927871954,0.025867507918011963
Option3_Hybrid,XGBoost,Recall,0.15166899549759355,0.015684867911296807
Option3_Hybrid,XGBoost,AUROC,0.7422854703129506,0.01143838719080415
Option3_Hybrid,XGBoost,AUPRC,0.20782809795083673,0.015575149398841677
Option4_No_CC,LogisticRegression_L1,Sensitivity,0.7813227759664648,0.03245682638606272
Option4_No_CC,LogisticRegression_L1,Specificity,0.5693379790940767,0.010696920859239551
Option4_No_CC,LogisticRegression_L1,PPV,0.15193699715128167,0.003002067540639069
Option4_No_CC,LogisticRegression_L1,NPV,0.963521900190323,0.004722767409825072
Option4_No_CC,LogisticRegression_L1,Precision,0.15193699715128167,0.003002067540639069
Option4_No_CC,LogisticRegression_L1,Recall,0.7813227759664648,0.03245682638606272
Option4_No_CC,LogisticRegression_L1,AUROC,0.7501592043999488,0.0153924109882661
Option4_No_CC,LogisticRegression_L1,AUPRC,0.2221537545754737,0.01956732407095525
